BusNum,start_time,end_time,total_hours,running_hours,dead_km,distance travelled,vehicle_efficiency(t),vehicle_efficiency(d)
1,0:00,16:30,14:15,13:15,0,330,92.98,100
2,0:15,17:00,14:30,13:15,0,332,91.38,100
3,0:30,18:30,15:45,13:30,0,332,85.71,100
4,0:45,17:30,14:30,13:15,0,330,91.38,100
5,1:00,19:30,16:15,13:30,0,332,83.08,100
6,1:15,20:00,16:15,13:30,0,332,83.08,100
7,1:30,20:30,16:30,13:15,0,328,80.3,100
8,1:45,15:00,11:00,10:15,0,246,93.18,100
9,2:00,12:15,8:00,7:15,0,170,90.62,100
10,2:15,18:00,13:15,10:00,0,250,75.47,100
11,2:30,13:30,8:45,7:15,0,172,82.86,100
12,2:45,19:00,13:45,10:00,0,250,72.73,100
13,3:00,20:45,15:15,10:15,0,252,67.21,100
14,3:15,21:00,13:45,6:45,0,160,49.09,100
15,6:30,21:15,10:45,7:00,0,168,65.12,100
16,7:00,25:15,10:00,10:00,0,252,100.0,100
17,7:15,24:45,10:45,10:15,0,252,95.35,100
18,7:30,26:00,11:00,10:30,0,252,95.45,100
19,8:00,26:30,10:15,10:15,0,252,100.0,100
20,8:15,26:00,10:30,10:00,0,248,95.24,100
21,8:45,26:30,10:45,10:00,0,246,93.02,100
22,9:15,27:00,10:30,10:00,0,248,95.24,100
23,10:00,27:00,10:15,9:45,0,248,95.12,100
24,18:15,25:00,6:45,6:00,0,162,88.89,100
25,20:30,24:00,3:30,3:15,0,84,92.86,100
26,21:00,24:15,3:15,3:15,0,86,100.0,100
27,21:15,24:30,3:15,3:00,0,80,92.31,100
28,22:00,25:30,3:30,3:15,0,84,92.86,100
