BusNum,start_time,end_time,total_hours,running_hours,dead_km,distance travelled,vehicle_efficiency(t),vehicle_efficiency(d)
1,0:00,16:45,14:00,13:30,0,336,96.43,100
2,0:15,17:15,13:30,13:15,0,330,98.15,100
3,0:30,17:45,14:00,13:30,0,336,96.43,100
4,0:45,18:15,13:30,13:15,0,330,98.15,100
5,1:00,19:00,14:00,13:45,0,338,98.21,100
6,1:15,19:30,14:00,13:30,0,328,96.43,100
7,1:30,19:30,14:00,13:15,0,336,94.64,100
8,1:45,17:30,13:15,13:15,0,326,100.0,100
9,2:00,18:30,13:00,13:15,0,338,101.92,100
10,2:15,16:30,11:00,9:30,0,244,86.36,100
11,2:30,17:00,10:30,9:45,0,250,92.86,100
12,2:45,21:30,10:30,10:00,0,248,95.24,100
13,3:00,22:30,10:30,10:00,0,252,95.24,100
14,3:15,23:30,10:45,10:15,0,248,95.35,100
15,3:30,24:15,11:00,10:00,0,250,90.91,100
16,3:45,24:30,13:45,10:00,0,246,72.73,100
17,5:45,25:00,13:00,10:00,0,248,76.92,100
18,6:00,25:30,13:45,10:00,0,252,72.73,100
19,6:45,26:45,14:30,10:15,0,246,70.69,100
20,7:00,25:45,14:45,10:15,0,248,69.49,100
21,7:15,25:00,14:15,6:30,0,164,45.61,100
22,8:00,26:15,14:30,7:00,0,166,48.28,100
23,12:15,20:30,8:15,3:15,0,82,39.39,100
24,17:00,27:15,8:00,6:45,0,164,84.38,100
25,18:15,26:15,8:00,3:30,0,80,43.75,100
26,19:45,26:45,7:00,3:45,0,82,53.57,100
27,23:00,27:15,4:15,3:45,0,86,88.24,100
28,23:30,27:45,4:15,3:45,0,86,88.24,100
