BusNum,start_time,end_time,total_hours,running_hours,dead_km,distance travelled,vehicle_efficiency(t),vehicle_efficiency(d)
1,0:00,16:30,14:15,13:15,0,336,92.98,100
2,0:15,17:45,15:00,13:00,0,328,86.67,100
3,1:00,17:30,14:00,13:15,0,336,94.64,100
4,1:15,18:45,15:00,13:00,0,326,86.67,100
5,2:00,18:45,14:15,13:30,0,336,94.74,100
6,2:15,15:15,10:45,13:00,0,330,120.93,100
7,3:00,15:30,10:15,10:00,0,252,97.56,100
8,3:15,19:15,13:30,10:00,0,246,74.07,100
9,4:45,19:45,11:30,10:00,0,246,86.96,100
10,5:00,20:45,12:15,10:15,0,250,83.67,100
11,6:00,22:30,10:15,10:15,0,252,100.0,100
12,6:15,23:30,10:45,10:15,0,246,95.35,100
13,6:30,24:00,10:45,10:30,0,256,97.67,100
14,6:45,24:00,10:30,10:00,0,242,95.24,100
15,7:00,25:00,10:00,9:45,0,252,97.5,100
16,7:15,24:30,10:45,10:15,0,246,95.35,100
17,7:30,25:30,10:30,10:15,0,254,97.62,100
18,7:45,26:00,11:45,10:00,0,250,85.11,100
19,8:15,26:30,11:45,10:00,0,246,85.11,100
20,8:45,27:00,11:30,9:45,0,244,84.78,100
21,9:15,23:00,7:15,7:00,0,166,96.55,100
22,9:45,23:00,6:30,6:30,0,160,100.0,100
23,10:30,24:30,10:00,6:45,0,170,67.5,100
24,11:00,18:15,7:15,3:45,0,86,51.72,100
25,13:00,0:00,5:15,3:30,0,84,66.67,100
26,17:45,21:45,4:00,3:45,0,82,93.75,100
27,19:30,23:30,4:00,3:45,0,86,93.75,100
