,trips,traveltime,waittime,total_time,starttime,dir,startpos
35,AK_DN_1275,80,10,90,1275,DN,A
36,AJ_UP_1290,85,20,105,1290,UP,J
37,AJ_DN_1290,75,15,90,1290,DN,A
38,AK_UP_1305,70,20,90,1305,UP,K
39,AK_DN_1305,80,10,90,1305,DN,A
41,AJ_DN_1320,75,15,90,1320,DN,A
40,AJ_UP_1320,85,20,105,1320,UP,J
42,AK_UP_1335,75,15,90,1335,UP,K
43,AK_DN_1335,80,10,90,1335,DN,A
44,AJ_UP_1350,85,20,105,1350,UP,J
45,AJ_DN_1350,75,15,90,1350,DN,A
46,AK_UP_1365,75,15,90,1365,UP,K
47,AK_DN_1365,80,10,90,1365,DN,A
48,AJ_UP_1380,85,20,105,1380,UP,J
49,AJ_DN_1380,75,15,90,1380,DN,A
50,AK_UP_1395,75,15,90,1395,UP,K
51,AK_DN_1395,80,10,90,1395,DN,A
52,AJ_UP_1410,85,20,105,1410,UP,J
53,AJ_DN_1410,75,15,90,1410,DN,A
55,AK_DN_1425,80,10,90,1425,DN,A
54,AK_UP_1425,75,15,90,1425,UP,K
57,AJ_DN_0,75,15,90,1440,DN,A
59,AK_DN_15,90,15,105,1455,DN,A
61,AJ_DN_30,75,15,90,1470,DN,A
63,AK_DN_45,90,15,105,1485,DN,A
65,AJ_DN_60,75,15,90,1500,DN,A
67,AK_DN_75,90,15,105,1515,DN,A
69,AJ_DN_90,75,15,90,1530,DN,A
