trips,traveltime,waittime,total_time,starttime,dir,startpos
AJ_UP_1290,90,15,105,1290,UP,J
AJ_DN_1290,80,10,90,1290,DN,A
AK_UP_1305,85,20,105,1305,UP,K
AK_DN_1305,85,20,105,1305,DN,A
AJ_UP_1320,90,15,105,1320,UP,J
AJ_DN_1320,80,10,90,1320,DN,A
AK_UP_1335,85,20,105,1335,UP,K
AK_DN_1335,85,20,105,1335,DN,A
AJ_UP_1350,90,15,105,1350,UP,J
AJ_DN_1350,80,10,90,1350,DN,A
AK_UP_1365,85,20,105,1365,UP,K
AK_DN_1365,85,20,105,1365,DN,A
AJ_UP_1380,90,15,105,1380,UP,J
AJ_DN_1380,70,20,90,1380,DN,A
AK_UP_1395,80,25,105,1395,UP,K
AK_DN_1410,80,10,90,1410,DN,A
